Temperature,n_H,Metallicity,Value
4.0045318674268895,-0.19541043202812972,-1.566587460465776,1.8296e-25
4.031959447657564,1.296205693727113,-1.8214924877446097,4.4679e-22
4.065266988760895,2.5461910226728888,-1.2293468320746739,7.758e-19
4.088107150604719,2.396310289287751,-0.7297530197215143,6.7962e-19
4.0970756365671255,2.5881467755817287,-1.1180325333476988,1.8787e-18
4.122125149235398,-3.9848505234268488,-1.0157791051297274,3.9395e-33
4.161651300718827,-1.3016434430203319,-0.8255254336896043,2.5765e-27
4.189701535303824,-3.9616803150080973,-0.9870066037457637,4.7857e-33
4.2266741557450285,3.8011135882730294,-1.1790442821161358,4.6098e-15
4.237517741790697,-3.886391924831633,-0.36785806948386723,8.0765e-33
4.238211592777807,0.9460343387010332,-1.0045373210072277,1.6328e-21
4.26173508945181,0.36060098167132126,-0.5809913646603211,6.9105e-23
4.283236260243451,-1.722014352767097,-1.9327866516724126,1.9851e-28
4.289645659337941,2.6742523923953034,-1.0510758518172207,2.7618e-17
4.317638371843746,-1.6540185510057968,-1.761665596811479,3.2904e-28
4.319166769424968,-1.343288065698328,-1.2130983418945043,2.2805e-27
4.337887418638899,-0.5502157774136385,-1.948143423553977,2.6591e-25
4.344053240681892,-3.25986638450396,-1.1752874810635996,1.4535e-31
4.350997812859779,-2.7080338568634654,-1.9752229078610632,1.8918e-30
4.389225539322602,3.1831516996904794,-0.6520642283070804,2.0485e-16
4.432175486131986,1.9506230833700784,-1.928806514860511,5.1494e-19
4.455429173594083,-3.353647471550097,-1.7971148331504587,1.0795e-31
